Cereal.Name,Manufacturer,Size,Shelf,Price,Serving.Size,Calories,Total.Fat,Saturated.Fat,Sodium,Total.Carbohydrate,Dietary.Fiber,Sugar,Protein
Raisin Bran Crunch,Kelloggs,18.2,bottom_middle,4.99,55,190,1,0,200,46,4,13,4
Raisin Nut Bran,General Mills,17.1,top,5.29,49,180,3,1,201,40,6,14,4
Real Medleys Cherry Almond Pecan,Quaker,17,middle,4.69,56,240,7,1,40,41,3,15,5
Reese's Puffs,General Mills,11.5,middle_top,4.99,29,120,3,0.5,160,22,1,9,2
Rice Chex,General Mills,12,middle,5.29,27,100,0.5,0,220,23,1,2,2
Rice Krispies,Kelloggs,12,bottom,4.99,33,130,0,0,160,29,0,4,2
Shredded Wheat Original Big Biscuit,Post,15,bottom,4.99,51,170,1,0,0,41,7,0,6
Shredded Wheat Original Spoon Size,Post,18,middle_top,5.59,60,210,1.5,0,0,49,8,0,7
Smart Start,Kelloggs,17.5,middle,4.99,64,240,1,0,260,56,3,18,5
Special K Chocolate Almond,Kelloggs,12.7,middle_top,4.99,42,160,2,0.5,230,34,3,11,3
Special K Chocolatey Delight,Kelloggs,13.1,middle_top,4.99,42,170,3,2.5,250,34,3,13,3
Special K Fruit and Yogurt,Kelloggs,12.5,bottom_middle,4.99,42,160,1,0.5,190,36,3,13,3
Special K Original,Kelloggs,12,bottom_middle,4.99,39,150,0.5,0,270,29,0,5,7
Special K Red Berries,Kelloggs,11.2,bottom_middle,4.99,39,140,0.5,0,250,34,3,11,3
Special K Vanilla Almond,Kelloggs,12.4,middle,4.99,40,150,1.5,0,220,33,3,11,3
Strawberry Krispies,Kelloggs,11.5,bottom,4.99,32,120,0,0,125,28,0,9,2
Total,General Mills,10.6,top,4.99,30,110,0.5,0,140,25,3,5,2
Trix,General Mills,10.7,middle_top,4.79,31,120,1.5,0,150,27,1,10,1
Vanilla Chex,General Mills,12.1,middle_top,5.29,30,120,2.5,0,190,24,1,6,1
Wheat Chex,General Mills,14,middle_top,5.29,47,160,1,0,270,39,6,5,5
Wheaties,General Mills,15.8,bottom,5.99,27,100,0.5,0,180,23,3,4,2
Wild Berry Fruit Loops,Kelloggs,10.1,middle_top,4.99,29,110,0.5,0,150,26,3,10,2
